,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
581,False,/3eOwhd20RtZPs7Hh5B0OUSIH8VB.jpg,"[18, 14, 35]",73108,en,Teen Spirit,"The story is about Amber, a mean popular girl who gets electrocuted and dies and is not allowed to enter into heaven unless she helps the least popular girl in school become Prom Queen within a week, but things do not go as planned.",6.954251,/tzZYpqsPbbQVHCcOj5mxT1TjK7a.jpg,2011-08-07,Teen Spirit,False,5.5,102
582,False,/zpq404Sk7qQ7N4x3xOeNgp74GtU.jpg,"[18, 10402]",316029,en,The Greatest Showman,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",71.076389,/dfhztJRiElqmYW4kpvjYe1gENsD.jpg,2017-12-20,The Greatest Showman,False,8.0,1661
583,False,/geAe08WmchATnZF461WffQBqJk1.jpg,"[18, 10749]",266856,en,The Theory of Everything,"The Theory of Everything is the extraordinary story of one of the world’s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",29.236108,/4jspr8hLLuju59bCnMiefzRW4p0.jpg,2014-11-26,The Theory of Everything,False,7.9,4332
584,False,/zXwFJMwvQcJFitP9GcHZvHAHGe8.jpg,"[18, 36]",399404,en,Darkest Hour,"A thrilling and inspiring true story begins on the eve of World War II as, within days of becoming Prime Minister of Great Britain, Winston Churchill must face one of his most turbulent and defining trials: exploring a negotiated peace treaty with Nazi Germany, or standing firm to fight for the ideals, liberty and freedom of a nation. As the unstoppable Nazi forces roll across Western Europe and the threat of invasion is imminent, and with an unprepared public, a skeptical King, and his own party plotting against him, Churchill must withstand his darkest hour, rally a nation, and attempt to change the course of world history.",62.506795,/fZTSczW0G4erMf1tttrc88ioTO7.jpg,2017-11-22,Darkest Hour,False,7.2,1299
585,False,/cCIWU5b4izIpLeGQnQNW7iTtIDN.jpg,"[35, 18, 36]",371638,en,The Disaster Artist,"An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.",19.045344,/jj84nF5vYRD0HUTowBKcrKk8hZP.jpg,2017-11-30,The Disaster Artist,False,7.2,782
586,False,/6NA3aUycyfxMZO2kfdY8C6B1bOV.jpg,"[18, 80]",398978,en,The Irishman,A mob hit man recalls his possible involvement with the slaying of Jimmy Hoffa.,2.200024,/fhOpVy0VGvXCefuXHDlCUEkSMv7.jpg,2019-01-01,The Irishman,False,0.0,3
587,False,/2LR3XKthtguN7vOz99Q91IeEl1i.jpg,"[18, 36]",446354,en,The Post,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.,19.054973,/qyRwj5VvuTRdJ76o2grP93grNxt.jpg,2017-12-22,The Post,False,7.0,1031
588,False,/oXRoRYROJdoi7so8H9cHzS9jp6K.jpg,[18],306819,en,The Danish Girl,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",13.643675,/seWQ6UKCrhGH0eP7dFZvmIBQtKF.jpg,2015-11-27,The Danish Girl,False,7.5,2286
589,False,/yvbXGWjg30sj7rohEZvSe90jSJC.jpg,"[80, 18]",396371,en,Molly's Game,"Molly Bloom, a young skier and former Olympic hopeful becomes a successful entrepreneur (and a target of an FBI investigation) when she establishes a high-stakes, international poker game.",47.8617,/83k7FXpyV3xyOwyq1W7hBO6GVJA.jpg,2017-12-21,Molly's Game,False,6.9,521
590,False,/8wI0M7HDHhDsoxMCkcAVUx7O6DX.jpg,[18],395991,en,Only the Brave,Members of the Granite Mountain Hotshots battle deadly wildfires to save an Arizona town.,11.51291,/lC7WdUNLOJI3sllaDGNdFy2GT8g.jpg,2017-09-22,Only the Brave,False,6.6,256
